nodes,e1_1,e1_2,e1_3,e1_4,e2_1
techs,demand_power,demand_power,demand_power,demand_power,demand_power
2023-01-01T00:00:00,26.102,26.102,26.102,26.102,43.752
2023-01-01T01:00:00,32.11,32.11,32.11,32.11,56.064
2023-01-01T02:00:00,27.812,27.812,27.812,27.812,52.896
2023-01-01T03:00:00,23.73,23.73,23.73,23.73,51.156
2023-01-01T04:00:00,21.21,21.21,21.21,21.21,49.992
2023-01-01T05:00:00,19.866,19.866,19.866,19.866,52.068
2023-01-01T06:00:00,21.79,21.79,21.79,21.79,59.012
2023-01-01T07:00:00,22.862,22.862,22.862,22.862,68.152
2023-01-01T08:00:00,24.76,24.76,24.76,24.76,66.548
2023-01-01T09:00:00,29.278,29.278,29.278,29.278,61.972
2023-01-01T10:00:00,31.376,31.376,31.376,31.376,52.736
2023-01-01T11:00:00,30.892,30.892,30.892,30.892,45.26
2023-01-01T12:00:00,28.824,28.824,28.824,28.824,39.132
2023-01-01T13:00:00,27.608,27.608,27.608,27.608,38.452
2023-01-01T14:00:00,28.4,28.4,28.4,28.4,41.436
2023-01-01T15:00:00,32.36,32.36,32.36,32.36,48.884
2023-01-01T16:00:00,40.004,40.004,40.004,40.004,62.392
2023-01-01T17:00:00,51.366,51.366,51.366,51.366,79.252
2023-01-01T18:00:00,57.768,57.768,57.768,57.768,89.3
2023-01-01T19:00:00,53.588,53.588,53.588,53.588,85.372
2023-01-01T20:00:00,50.8,50.8,50.8,50.8,80.532
2023-01-01T21:00:00,44.564,44.564,44.564,44.564,72.58
2023-01-01T22:00:00,40.596,40.596,40.596,40.596,65.244
2023-01-01T23:00:00,34.834,34.834,34.834,34.834,58.38
2023-01-02T00:00:00,28.47,28.47,28.47,28.47,55.492
2023-01-02T01:00:00,24.12,24.12,24.12,24.12,50.864
2023-01-02T02:00:00,21.63,21.63,21.63,21.63,48.896
2023-01-02T03:00:00,20.332,20.332,20.332,20.332,47.82
2023-01-02T04:00:00,19.704,19.704,19.704,19.704,47.56
2023-01-02T05:00:00,20.276,20.276,20.276,20.276,51.612
2023-01-02T06:00:00,23.444,23.444,23.444,23.444,61.696
2023-01-02T07:00:00,29.648,29.648,29.648,29.648,75.96
2023-01-02T08:00:00,33.872,33.872,33.872,33.872,82.1
2023-01-02T09:00:00,33.102,33.102,33.102,33.102,74.036
2023-01-02T10:00:00,28.44,28.44,28.44,28.44,61.596
2023-01-02T11:00:00,24.204,24.204,24.204,24.204,53.04
2023-01-02T12:00:00,23.694,23.694,23.694,23.694,47.988
2023-01-02T13:00:00,22.8,22.8,22.8,22.8,45.668
2023-01-02T14:00:00,23.148,23.148,23.148,23.148,47.264
2023-01-02T15:00:00,25.442,25.442,25.442,25.442,52.736
2023-01-02T16:00:00,32.584,32.584,32.584,32.584,64.36
2023-01-02T17:00:00,50.604,50.604,50.604,50.604,84.648
2023-01-02T18:00:00,58.09,58.09,58.09,58.09,91.68
2023-01-02T19:00:00,52.122,52.122,52.122,52.122,86.456
2023-01-02T20:00:00,48.594,48.594,48.594,48.594,80.148
2023-01-02T21:00:00,43.672,43.672,43.672,43.672,72.984
2023-01-02T22:00:00,39.172,39.172,39.172,39.172,65.992
2023-01-02T23:00:00,33.584,33.584,33.584,33.584,57.992
2023-01-03T00:00:00,25.522,25.522,25.522,25.522,49.86
2023-01-03T01:00:00,21.484,21.484,21.484,21.484,45.26
2023-01-03T02:00:00,19.094,19.094,19.094,19.094,44.208
2023-01-03T03:00:00,18.072,18.072,18.072,18.072,42.86
2023-01-03T04:00:00,17.8,17.8,17.8,17.8,43.528
2023-01-03T05:00:00,18.574,18.574,18.574,18.574,47.616
2023-01-03T06:00:00,21.792,21.792,21.792,21.792,57.508
2023-01-03T07:00:00,27.284,27.284,27.284,27.284,70.792
2023-01-03T08:00:00,25.292,25.292,25.292,25.292,62.284
2023-01-03T09:00:00,18.41,18.41,18.41,18.41,43.52
2023-01-03T10:00:00,13.882,13.882,13.882,13.882,29.436
2023-01-03T11:00:00,10.386,10.386,10.386,10.386,22.076
2023-01-03T12:00:00,10.61,10.61,10.61,10.61,19.488
2023-01-03T13:00:00,10.482,10.482,10.482,10.482,19.596
2023-01-03T14:00:00,10.822,10.822,10.822,10.822,21.66
2023-01-03T15:00:00,12.17,12.17,12.17,12.17,25.66
2023-01-03T16:00:00,16.684,16.684,16.684,16.684,32.808
2023-01-03T17:00:00,35.206,35.206,35.206,35.206,54.9
2023-01-03T18:00:00,49.048,49.048,49.048,49.048,78.124
2023-01-03T19:00:00,48.576,48.576,48.576,48.576,81.268
2023-01-03T20:00:00,45.252,45.252,45.252,45.252,75.872
2023-01-03T21:00:00,40.876,40.876,40.876,40.876,68.6
2023-01-03T22:00:00,36.764,36.764,36.764,36.764,61.8
2023-01-03T23:00:00,31.836,31.836,31.836,31.836,54.74
2023-01-04T00:00:00,24.45,24.45,24.45,24.45,45.932
2023-01-04T01:00:00,20.616,20.616,20.616,20.616,43.032
2023-01-04T02:00:00,18.756,18.756,18.756,18.756,41.532
2023-01-04T03:00:00,17.806,17.806,17.806,17.806,42.096
2023-01-04T04:00:00,17.594,17.594,17.594,17.594,43.956
2023-01-04T05:00:00,18.406,18.406,18.406,18.406,49.912
2023-01-04T06:00:00,20.6,20.6,20.6,20.6,57.52
2023-01-04T07:00:00,19.534,19.534,19.534,19.534,50.892
2023-01-04T08:00:00,17.764,17.764,17.764,17.764,33.944
2023-01-04T09:00:00,15.222,15.222,15.222,15.222,22.512
2023-01-04T10:00:00,11.708,11.708,11.708,11.708,17.156
2023-01-04T11:00:00,10.17,10.17,10.17,10.17,13.388
2023-01-04T12:00:00,10.034,10.034,10.034,10.034,11.86
2023-01-04T13:00:00,9.144,9.144,9.144,9.144,11.984
2023-01-04T14:00:00,8.488,8.488,8.488,8.488,12.18
2023-01-04T15:00:00,9.316,9.316,9.316,9.316,14.004
2023-01-04T16:00:00,14.122,14.122,14.122,14.122,19.624
2023-01-04T17:00:00,25.28,25.28,25.28,25.28,33.392
2023-01-04T18:00:00,35.748,35.748,35.748,35.748,53.632
2023-01-04T19:00:00,42.334,42.334,42.334,42.334,70.324
2023-01-04T20:00:00,41.422,41.422,41.422,41.422,68.38
2023-01-04T21:00:00,37.724,37.724,37.724,37.724,61.196
2023-01-04T22:00:00,33.658,33.658,33.658,33.658,55.412
2023-01-04T23:00:00,28.24,28.24,28.24,28.24,50.42
2023-01-05T00:00:00,19.65,19.65,19.65,19.65,40.356
2023-01-05T01:00:00,17.132,17.132,17.132,17.132,39.412
2023-01-05T02:00:00,16.504,16.504,16.504,16.504,39.968
2023-01-05T03:00:00,16.504,16.504,16.504,16.504,40.868
2023-01-05T04:00:00,17.33,17.33,17.33,17.33,43.764
2023-01-05T05:00:00,19.084,19.084,19.084,19.084,51.212
2023-01-05T06:00:00,17.576,17.576,17.576,17.576,51.864
2023-01-05T07:00:00,15.23,15.23,15.23,15.23,40.192
2023-01-05T08:00:00,12.906,12.906,12.906,12.906,25.46
2023-01-05T09:00:00,9.71,9.71,9.71,9.71,16.324
2023-01-05T10:00:00,7.77,7.77,7.77,7.77,12.424
2023-01-05T11:00:00,7.08,7.08,7.08,7.08,11.208
2023-01-05T12:00:00,6.014,6.014,6.014,6.014,11.62
2023-01-05T13:00:00,5.658,5.658,5.658,5.658,11.348
2023-01-05T14:00:00,5.718,5.718,5.718,5.718,12.496
2023-01-05T15:00:00,7.24,7.24,7.24,7.24,14.928
2023-01-05T16:00:00,15.588,15.588,15.588,15.588,22.304
2023-01-05T17:00:00,22.834,22.834,22.834,22.834,31.916
2023-01-05T18:00:00,25.608,25.608,25.608,25.608,41.66
2023-01-05T19:00:00,31.334,31.334,31.334,31.334,51.736
2023-01-05T20:00:00,35.386,35.386,35.386,35.386,59.932
2023-01-05T21:00:00,34.188,34.188,34.188,34.188,57.216
2023-01-05T22:00:00,30.016,30.016,30.016,30.016,50.648
2023-01-05T23:00:00,23.804,23.804,23.804,23.804,44.388
2023-01-06T00:00:00,19.556,19.556,19.556,19.556,41.208
2023-01-06T01:00:00,16.91,16.91,16.91,16.91,38.676
2023-01-06T02:00:00,16.14,16.14,16.14,16.14,35.868
2023-01-06T03:00:00,15.746,15.746,15.746,15.746,36.24
2023-01-06T04:00:00,15.368,15.368,15.368,15.368,38.424
2023-01-06T05:00:00,15.106,15.106,15.106,15.106,42.744
2023-01-06T06:00:00,14.918,14.918,14.918,14.918,46.752
2023-01-06T07:00:00,14.404,14.404,14.404,14.404,42.184
2023-01-06T08:00:00,12.418,12.418,12.418,12.418,33.572
2023-01-06T09:00:00,9.928,9.928,9.928,9.928,25.588
2023-01-06T10:00:00,8.286,8.286,8.286,8.286,21.4
2023-01-06T11:00:00,7.952,7.952,7.952,7.952,19.68
2023-01-06T12:00:00,6.916,6.916,6.916,6.916,18.04
2023-01-06T13:00:00,5.938,5.938,5.938,5.938,16.484
2023-01-06T14:00:00,5.622,5.622,5.622,5.622,15.644
2023-01-06T15:00:00,6.496,6.496,6.496,6.496,17.676
2023-01-06T16:00:00,13.744,13.744,13.744,13.744,23.192
2023-01-06T17:00:00,19.45,19.45,19.45,19.45,30.48
2023-01-06T18:00:00,19.33,19.33,19.33,19.33,37.34
2023-01-06T19:00:00,24.026,24.026,24.026,24.026,43.96
2023-01-06T20:00:00,28.926,28.926,28.926,28.926,52.272
2023-01-06T21:00:00,31.666,31.666,31.666,31.666,56.78
2023-01-06T22:00:00,29.322,29.322,29.322,29.322,52.064
