nodes,e1_1,e1_2,e1_3,e1_4,e2_1
techs,demand_power,demand_power,demand_power,demand_power,demand_power
2023-01-01T00:00:00,6.5255,6.5255,6.5255,6.5255,10.938
2023-01-01T01:00:00,8.0275,8.0275,8.0275,8.0275,14.016
2023-01-01T02:00:00,6.953,6.953,6.953,6.953,13.224
2023-01-01T03:00:00,5.9325,5.9325,5.9325,5.9325,12.789
2023-01-01T04:00:00,5.3025,5.3025,5.3025,5.3025,12.498
2023-01-01T05:00:00,4.9665,4.9665,4.9665,4.9665,13.017
2023-01-01T06:00:00,5.4475,5.4475,5.4475,5.4475,14.753
2023-01-01T07:00:00,5.7155,5.7155,5.7155,5.7155,17.038
2023-01-01T08:00:00,6.19,6.19,6.19,6.19,16.637
2023-01-01T09:00:00,7.3195,7.3195,7.3195,7.3195,15.493
2023-01-01T10:00:00,7.844,7.844,7.844,7.844,13.184
2023-01-01T11:00:00,7.723,7.723,7.723,7.723,11.315
2023-01-01T12:00:00,7.206,7.206,7.206,7.206,9.783
2023-01-01T13:00:00,6.902,6.902,6.902,6.902,9.613
2023-01-01T14:00:00,7.1,7.1,7.1,7.1,10.359
2023-01-01T15:00:00,8.09,8.09,8.09,8.09,12.221
2023-01-01T16:00:00,10.001,10.001,10.001,10.001,15.598
2023-01-01T17:00:00,12.8415,12.8415,12.8415,12.8415,19.813
2023-01-01T18:00:00,14.442,14.442,14.442,14.442,22.325
2023-01-01T19:00:00,13.397,13.397,13.397,13.397,21.343
2023-01-01T20:00:00,12.7,12.7,12.7,12.7,20.133
2023-01-01T21:00:00,11.141,11.141,11.141,11.141,18.145
2023-01-01T22:00:00,10.149,10.149,10.149,10.149,16.311
2023-01-01T23:00:00,8.7085,8.7085,8.7085,8.7085,14.595
2023-01-02T00:00:00,7.1175,7.1175,7.1175,7.1175,13.873
2023-01-02T01:00:00,6.03,6.03,6.03,6.03,12.716
2023-01-02T02:00:00,5.4075,5.4075,5.4075,5.4075,12.224
2023-01-02T03:00:00,5.083,5.083,5.083,5.083,11.955
2023-01-02T04:00:00,4.926,4.926,4.926,4.926,11.89
2023-01-02T05:00:00,5.069,5.069,5.069,5.069,12.903
2023-01-02T06:00:00,5.861,5.861,5.861,5.861,15.424
2023-01-02T07:00:00,7.412,7.412,7.412,7.412,18.99
2023-01-02T08:00:00,8.468,8.468,8.468,8.468,20.525
2023-01-02T09:00:00,8.2755,8.2755,8.2755,8.2755,18.509
2023-01-02T10:00:00,7.11,7.11,7.11,7.11,15.399
2023-01-02T11:00:00,6.051,6.051,6.051,6.051,13.26
2023-01-02T12:00:00,5.9235,5.9235,5.9235,5.9235,11.997
2023-01-02T13:00:00,5.7,5.7,5.7,5.7,11.417
2023-01-02T14:00:00,5.787,5.787,5.787,5.787,11.816
2023-01-02T15:00:00,6.3605,6.3605,6.3605,6.3605,13.184
2023-01-02T16:00:00,8.146,8.146,8.146,8.146,16.09
2023-01-02T17:00:00,12.651,12.651,12.651,12.651,21.162
2023-01-02T18:00:00,14.5225,14.5225,14.5225,14.5225,22.92
2023-01-02T19:00:00,13.0305,13.0305,13.0305,13.0305,21.614
2023-01-02T20:00:00,12.1485,12.1485,12.1485,12.1485,20.037
2023-01-02T21:00:00,10.918,10.918,10.918,10.918,18.246
2023-01-02T22:00:00,9.793,9.793,9.793,9.793,16.498
2023-01-02T23:00:00,8.396,8.396,8.396,8.396,14.498
2023-01-03T00:00:00,6.3805,6.3805,6.3805,6.3805,12.465
2023-01-03T01:00:00,5.371,5.371,5.371,5.371,11.315
2023-01-03T02:00:00,4.7735,4.7735,4.7735,4.7735,11.052
2023-01-03T03:00:00,4.518,4.518,4.518,4.518,10.715
2023-01-03T04:00:00,4.45,4.45,4.45,4.45,10.882
2023-01-03T05:00:00,4.6435,4.6435,4.6435,4.6435,11.904
2023-01-03T06:00:00,5.448,5.448,5.448,5.448,14.377
2023-01-03T07:00:00,6.821,6.821,6.821,6.821,17.698
2023-01-03T08:00:00,6.323,6.323,6.323,6.323,15.571
2023-01-03T09:00:00,4.6025,4.6025,4.6025,4.6025,10.88
2023-01-03T10:00:00,3.4705,3.4705,3.4705,3.4705,7.359
2023-01-03T11:00:00,2.5965,2.5965,2.5965,2.5965,5.519
2023-01-03T12:00:00,2.6525,2.6525,2.6525,2.6525,4.872
2023-01-03T13:00:00,2.6205,2.6205,2.6205,2.6205,4.899
2023-01-03T14:00:00,2.7055,2.7055,2.7055,2.7055,5.415
2023-01-03T15:00:00,3.0425,3.0425,3.0425,3.0425,6.415
2023-01-03T16:00:00,4.171,4.171,4.171,4.171,8.202
