techs,supply_grid_power,sell_grid_power
parameters,cost_flow_out,cost_flow_in
nodes,transformer,transformer
2023-01-01T00:00:00,-0.00361,-0.13
2023-01-01T01:00:00,-0.00146,-0.13
2023-01-01T02:00:00,-0.00152,-0.13
2023-01-01T03:00:00,-0.005,-0.13
2023-01-01T04:00:00,-0.0046,-0.13
2023-01-01T05:00:00,-0.00405,-0.13
2023-01-01T06:00:00,-0.0036,-0.13
2023-01-01T07:00:00,0,-0.13
2023-01-01T08:00:00,0,-0.13
2023-01-01T09:00:00,0,-0.13
2023-01-01T10:00:00,0.00099,-0.13
2023-01-01T11:00:00,0.00058,-0.13
2023-01-01T12:00:00,4.00E-05,-0.13
2023-01-01T13:00:00,0,-0.13
2023-01-01T14:00:00,0.00085,-0.13
2023-01-01T15:00:00,0.02353,-0.13
2023-01-01T16:00:00,0.03654,-0.13
2023-01-01T17:00:00,0.04603,-0.13
2023-01-01T18:00:00,0.0999,-0.13
2023-01-01T19:00:00,0.05495,-0.13
2023-01-01T20:00:00,0.062,-0.13
2023-01-01T21:00:00,0.05293,-0.13
2023-01-01T22:00:00,0.04596,-0.13
2023-01-01T23:00:00,0.035,-0.13
2023-01-02T00:00:00,0.1099,-0.13
2023-01-02T01:00:00,0.0949,-0.13
2023-01-02T02:00:00,0.05293,-0.13
2023-01-02T03:00:00,0.04416,-0.13
2023-01-02T04:00:00,0.05008,-0.13
2023-01-02T05:00:00,0.07709,-0.13
2023-01-02T06:00:00,0.10508,-0.13
2023-01-02T07:00:00,0.14064,-0.13
2023-01-02T08:00:00,0.16244,-0.13
2023-01-02T09:00:00,0.18,-0.13
2023-01-02T10:00:00,0.14561,-0.13
2023-01-02T11:00:00,0.14335,-0.13
2023-01-02T12:00:00,0.14438,-0.13
2023-01-02T13:00:00,0.14376,-0.13
2023-01-02T14:00:00,0.1482,-0.13
2023-01-02T15:00:00,0.15534,-0.13
2023-01-02T16:00:00,0.164,-0.13
2023-01-02T17:00:00,0.18568,-0.13
2023-01-02T18:00:00,0.17474,-0.13
2023-01-02T19:00:00,0.1699,-0.13
2023-01-02T20:00:00,0.153,-0.13
2023-01-02T21:00:00,0.14167,-0.13
2023-01-02T22:00:00,0.13491,-0.13
2023-01-02T23:00:00,0.12422,-0.13
2023-01-03T00:00:00,0.13001,-0.13
2023-01-03T01:00:00,0.12,-0.13
2023-01-03T02:00:00,0.11876,-0.13
2023-01-03T03:00:00,0.115,-0.13
2023-01-03T04:00:00,0.11363,-0.13
2023-01-03T05:00:00,0.11627,-0.13
2023-01-03T06:00:00,0.13892,-0.13
2023-01-03T07:00:00,0.15992,-0.13
2023-01-03T08:00:00,0.16917,-0.13
2023-01-03T09:00:00,0.17118,-0.13
2023-01-03T10:00:00,0.16857,-0.13
2023-01-03T11:00:00,0.16949,-0.13
2023-01-03T12:00:00,0.1645,-0.13
2023-01-03T13:00:00,0.16091,-0.13
2023-01-03T14:00:00,0.16306,-0.13
