nodes,e1_1,e1_2,e1_3,e1_4,e2_1
techs,demand_power,demand_power,demand_power,demand_power,demand_power
2023-01-01T00:00:00,13.051,13.051,13.051,13.051,21.876
2023-01-01T01:00:00,16.055,16.055,16.055,16.055,28.032
2023-01-01T02:00:00,13.906,13.906,13.906,13.906,26.448
2023-01-01T03:00:00,11.865,11.865,11.865,11.865,25.578
2023-01-01T04:00:00,10.605,10.605,10.605,10.605,24.996
2023-01-01T05:00:00,9.933,9.933,9.933,9.933,26.034
2023-01-01T06:00:00,10.895,10.895,10.895,10.895,29.506
2023-01-01T07:00:00,11.431,11.431,11.431,11.431,34.076
2023-01-01T08:00:00,12.38,12.38,12.38,12.38,33.274
2023-01-01T09:00:00,14.639,14.639,14.639,14.639,30.986
2023-01-01T10:00:00,15.688,15.688,15.688,15.688,26.368
2023-01-01T11:00:00,15.446,15.446,15.446,15.446,22.63
2023-01-01T12:00:00,14.412,14.412,14.412,14.412,19.566
2023-01-01T13:00:00,13.804,13.804,13.804,13.804,19.226
2023-01-01T14:00:00,14.2,14.2,14.2,14.2,20.718
2023-01-01T15:00:00,16.18,16.18,16.18,16.18,24.442
2023-01-01T16:00:00,20.002,20.002,20.002,20.002,31.196
2023-01-01T17:00:00,25.683,25.683,25.683,25.683,39.626
2023-01-01T18:00:00,28.884,28.884,28.884,28.884,44.65
2023-01-01T19:00:00,26.794,26.794,26.794,26.794,42.686
2023-01-01T20:00:00,25.4,25.4,25.4,25.4,40.266
2023-01-01T21:00:00,22.282,22.282,22.282,22.282,36.29
2023-01-01T22:00:00,20.298,20.298,20.298,20.298,32.622
2023-01-01T23:00:00,17.417,17.417,17.417,17.417,29.19
2023-01-02T00:00:00,14.235,14.235,14.235,14.235,27.746
2023-01-02T01:00:00,12.06,12.06,12.06,12.06,25.432
2023-01-02T02:00:00,10.815,10.815,10.815,10.815,24.448
2023-01-02T03:00:00,10.166,10.166,10.166,10.166,23.91
2023-01-02T04:00:00,9.852,9.852,9.852,9.852,23.78
2023-01-02T05:00:00,10.138,10.138,10.138,10.138,25.806
2023-01-02T06:00:00,11.722,11.722,11.722,11.722,30.848
2023-01-02T07:00:00,14.824,14.824,14.824,14.824,37.98
2023-01-02T08:00:00,16.936,16.936,16.936,16.936,41.05
2023-01-02T09:00:00,16.551,16.551,16.551,16.551,37.018
2023-01-02T10:00:00,14.22,14.22,14.22,14.22,30.798
2023-01-02T11:00:00,12.102,12.102,12.102,12.102,26.52
2023-01-02T12:00:00,11.847,11.847,11.847,11.847,23.994
2023-01-02T13:00:00,11.4,11.4,11.4,11.4,22.834
2023-01-02T14:00:00,11.574,11.574,11.574,11.574,23.632
2023-01-02T15:00:00,12.721,12.721,12.721,12.721,26.368
2023-01-02T16:00:00,16.292,16.292,16.292,16.292,32.18
2023-01-02T17:00:00,25.302,25.302,25.302,25.302,42.324
2023-01-02T18:00:00,29.045,29.045,29.045,29.045,45.84
2023-01-02T19:00:00,26.061,26.061,26.061,26.061,43.228
2023-01-02T20:00:00,24.297,24.297,24.297,24.297,40.074
2023-01-02T21:00:00,21.836,21.836,21.836,21.836,36.492
2023-01-02T22:00:00,19.586,19.586,19.586,19.586,32.996
2023-01-02T23:00:00,16.792,16.792,16.792,16.792,28.996
2023-01-03T00:00:00,12.761,12.761,12.761,12.761,24.93
2023-01-03T01:00:00,10.742,10.742,10.742,10.742,22.63
2023-01-03T02:00:00,9.547,9.547,9.547,9.547,22.104
2023-01-03T03:00:00,9.036,9.036,9.036,9.036,21.43
2023-01-03T04:00:00,8.9,8.9,8.9,8.9,21.764
2023-01-03T05:00:00,9.287,9.287,9.287,9.287,23.808
2023-01-03T06:00:00,10.896,10.896,10.896,10.896,28.754
2023-01-03T07:00:00,13.642,13.642,13.642,13.642,35.396
2023-01-03T08:00:00,12.646,12.646,12.646,12.646,31.142
2023-01-03T09:00:00,9.205,9.205,9.205,9.205,21.76
2023-01-03T10:00:00,6.941,6.941,6.941,6.941,14.718
2023-01-03T11:00:00,5.193,5.193,5.193,5.193,11.038
2023-01-03T12:00:00,5.305,5.305,5.305,5.305,9.744
2023-01-03T13:00:00,5.241,5.241,5.241,5.241,9.798
2023-01-03T14:00:00,5.411,5.411,5.411,5.411,10.83
2023-01-03T15:00:00,6.085,6.085,6.085,6.085,12.83
2023-01-03T16:00:00,8.342,8.342,8.342,8.342,16.404
2023-01-03T17:00:00,17.603,17.603,17.603,17.603,27.45
2023-01-03T18:00:00,24.524,24.524,24.524,24.524,39.062
2023-01-03T19:00:00,24.288,24.288,24.288,24.288,40.634
2023-01-03T20:00:00,22.626,22.626,22.626,22.626,37.936
2023-01-03T21:00:00,20.438,20.438,20.438,20.438,34.3
2023-01-03T22:00:00,18.382,18.382,18.382,18.382,30.9
2023-01-03T23:00:00,15.918,15.918,15.918,15.918,27.37
2023-01-04T00:00:00,12.225,12.225,12.225,12.225,22.966
2023-01-04T01:00:00,10.308,10.308,10.308,10.308,21.516
2023-01-04T02:00:00,9.378,9.378,9.378,9.378,20.766
2023-01-04T03:00:00,8.903,8.903,8.903,8.903,21.048
2023-01-04T04:00:00,8.797,8.797,8.797,8.797,21.978
2023-01-04T05:00:00,9.203,9.203,9.203,9.203,24.956
2023-01-04T06:00:00,10.3,10.3,10.3,10.3,28.76
2023-01-04T07:00:00,9.767,9.767,9.767,9.767,25.446
2023-01-04T08:00:00,8.882,8.882,8.882,8.882,16.972
2023-01-04T09:00:00,7.611,7.611,7.611,7.611,11.256
2023-01-04T10:00:00,5.854,5.854,5.854,5.854,8.578
2023-01-04T11:00:00,5.085,5.085,5.085,5.085,6.694
2023-01-04T12:00:00,5.017,5.017,5.017,5.017,5.93
2023-01-04T13:00:00,4.572,4.572,4.572,4.572,5.992
2023-01-04T14:00:00,4.244,4.244,4.244,4.244,6.09
2023-01-04T15:00:00,4.658,4.658,4.658,4.658,7.002
2023-01-04T16:00:00,7.061,7.061,7.061,7.061,9.812
2023-01-04T17:00:00,12.64,12.64,12.64,12.64,16.696
2023-01-04T18:00:00,17.874,17.874,17.874,17.874,26.816
2023-01-04T19:00:00,21.167,21.167,21.167,21.167,35.162
2023-01-04T20:00:00,20.711,20.711,20.711,20.711,34.19
2023-01-04T21:00:00,18.862,18.862,18.862,18.862,30.598
2023-01-04T22:00:00,16.829,16.829,16.829,16.829,27.706
2023-01-04T23:00:00,14.12,14.12,14.12,14.12,25.21
2023-01-05T00:00:00,9.825,9.825,9.825,9.825,20.178
2023-01-05T01:00:00,8.566,8.566,8.566,8.566,19.706
2023-01-05T02:00:00,8.252,8.252,8.252,8.252,19.984
2023-01-05T03:00:00,8.252,8.252,8.252,8.252,20.434
2023-01-05T04:00:00,8.665,8.665,8.665,8.665,21.882
2023-01-05T05:00:00,9.542,9.542,9.542,9.542,25.606
2023-01-05T06:00:00,8.788,8.788,8.788,8.788,25.932
2023-01-05T07:00:00,7.615,7.615,7.615,7.615,20.096
2023-01-05T08:00:00,6.453,6.453,6.453,6.453,12.73
2023-01-05T09:00:00,4.855,4.855,4.855,4.855,8.162
